date,ms,bid,x,y,z,azim,elev,range,pitch,roll,yaw,ext_head,volt,temp,lat,long,est_lat,est_long,fit_error
date,ms,bid,x,y,z,azim,elev,range,pitch,roll,yaw,ext_head,volt,temp,lat,long,est_lat,est_long,fit_error
